 Total energy of the cell (au):  -15424.4486496786     
 Total energy of the cell (au):  -15424.1790011418     
 Total energy of the cell (au):  -15424.1701132577     
 Total energy of the cell (au):  -15424.2401979334     
 Total energy of the cell (au):  -15424.1163031391     
 Total energy of the cell (au):  -15424.0216676016     
 Total energy of the cell (au):  -15424.1775502200     
 Total energy of the cell (au):  -15424.1661567413     
 Total energy of the cell (au):  -15424.0791664694     
 Total energy of the cell (au):  -15424.1955094336     
 Total energy of the cell (au):  -15424.2098993065     
 Total energy of the cell (au):  -15424.4659893060     
 Total energy of the cell (au):  -15424.4760112820     
 Total energy of the cell (au):  -15424.4778286020     
 Total energy of the cell (au):  -15424.1776213245     
 Total energy of the cell (au):  -15424.1388635351     
 Total energy of the cell (au):  -15425.7002607578     
 Total energy of the cell (au):  -15424.1342830197     
 Total energy of the cell (au):  -15424.0676017141     
 Total energy of the cell (au):  -15424.0873778221     
 Total energy of the cell (au):  -15424.0940180932     
 Total energy of the cell (au):  -15424.1303970380     
 Total energy of the cell (au):  -15424.5314015747     
 Total energy of the cell (au):  -15424.0397249174     
 Total energy of the cell (au):  -15424.0822209947     
 Total energy of the cell (au):  -15426.0918194189     
 Total energy of the cell (au):  -15423.9515484136     
 Total energy of the cell (au):  -15423.9754461495     
 Total energy of the cell (au):  -15424.1626310429     
 Total energy of the cell (au):  -15424.1265441784     
 Total energy of the cell (au):  -15424.1195410001     
 Total energy of the cell (au):  -15424.1370473380     
 Total energy of the cell (au):  -15424.1101085344     
 Total energy of the cell (au):  -15424.0808833896     
 Total energy of the cell (au):  -15424.1175187555     
 Total energy of the cell (au):  -15424.0991535156     
 Total energy of the cell (au):  -15424.4096550206     
 Total energy of the cell (au):  -15424.4286802682     
 Total energy of the cell (au):  -15424.4096936375     
 Total energy of the cell (au):  -15424.4583610139     
 Total energy of the cell (au):  -15424.4270404207     
 Total energy of the cell (au):  -15424.4343266632     
 Total energy of the cell (au):  -15424.1185519138     
 Total energy of the cell (au):  -15424.1000025257     
 Total energy of the cell (au):  -15424.4476029500     
 Total energy of the cell (au):  -15424.4390911696     
 Total energy of the cell (au):  -15424.1597448154     
 Total energy of the cell (au):  -15424.7993643697     
 Total energy of the cell (au):  -15424.6266548877     
 Total energy of the cell (au):  -15424.1309575039     
 Total energy of the cell (au):  -15424.1836744569     
 Total energy of the cell (au):  -15424.1612872123     
 Total energy of the cell (au):  -15424.1543003697     
 Total energy of the cell (au):  -15424.4592324448     
 Total energy of the cell (au):  -15424.1720370874     
 Total energy of the cell (au):  -15424.4012473866     
 Total energy of the cell (au):  -15424.0384622507     
 Total energy of the cell (au):  -15424.4483708778     
 Total energy of the cell (au):  -15424.4139806181     
 Total energy of the cell (au):  -15424.0323275660     
 Total energy of the cell (au):  -15424.4884907835     
